01/27/2026-23:05:44.827758  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:63273 -> 153.92.1.49:443
01/27/2026-23:05:54.578423  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61826 -> 153.92.1.49:443
01/27/2026-23:05:47.406332  [**] [1:2014170:6] ET INFO HTTP Request to .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.1.21.58:49295 -> 153.92.1.49:80
01/27/2026-23:05:46.538173  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:57020 -> 10.1.21.2:53
01/27/2026-23:05:46.538173  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:57020 -> 10.1.21.2:53
01/27/2026-23:05:46.538175  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:60711 -> 10.1.21.2:53
01/27/2026-23:05:46.538175  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:60711 -> 10.1.21.2:53
01/27/2026-23:05:47.793196  [**] [1:2014170:6] ET INFO HTTP Request to .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 10.1.21.58:49295 -> 153.92.1.49:80
01/27/2026-23:06:10.388156  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:53047 -> 10.1.21.2:53
01/27/2026-23:06:10.419913  [**] [1:2027758:5] ET DNS Query for .cc TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:53047 -> 10.1.21.2:53
01/27/2026-23:05:46.923259  [**] [1:2066541:1] ET MALWARE Win32/Lumma Stealer Related CnC Domain in DNS Lookup (whitepepper .su) [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {UDP} 10.1.21.58:55095 -> 10.1.21.2:53
01/27/2026-23:05:46.923259  [**] [1:2014169:4] ET DNS Query for .su TLD (Soviet Union) Often Malware Related [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 10.1.21.58:55095 -> 10.1.21.2:53
01/27/2026-23:05:46.920374  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:60043 -> 153.92.1.49:443
01/27/2026-23:06:00.773807  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61832 -> 153.92.1.49:443
01/27/2026-23:05:59.380559  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61830 -> 153.92.1.49:443
01/27/2026-23:05:57.938371  [**] [1:2066542:1] ET MALWARE Observed Win32/Lumma Stealer Related Domain (whitepepper .su) in TLS SNI [**] [Classification: Domain Observed Used for C2 Detected] [Priority: 1] {TCP} 10.1.21.58:61828 -> 153.92.1.49:443
